weapon,weaponId,cls,primitive,fields,currentValue,sourceVersion,currentStatus,plausibleUncertainty,scenariosProbed,top3Changes,winnerFlips,optimizedBuildFlips,baselineWins,baselineTop3Appearances,priorityScore
"KV9","kv9","SMG","recoil","recoilV","recoilV=0.5380755478069144","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"KV9","kv9","SMG","recoilVariationDeg","recoilVar","recoilVar=50","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"KV9","kv9","SMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"L115A3","l115","Sniper Rifle","recoilVariationDeg","recoilVar","recoilVar=4","1.3.3.0 (pinned Sym.gg game-file snapshot)","MISSING","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,1,0
"L115A3","l115","Sniper Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=9","1.3.3.0 (pinned Sym.gg game-file snapshot)","MISSING","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,1,0
"L85A3","l85a3","Assault Rifle","recoilVariationDeg","recoilVar","recoilVar=22.8","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"L85A3","l85a3","Assault Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"LMR27","lmr27","DMR","recoil","recoilV","recoilV=0.9150188301243465","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"LMR27","lmr27","DMR","recoilVariationDeg","recoilVar","recoilVar=11","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"LMR27","lmr27","DMR","effectiveAdsSpreadDeg","spreadMax","spreadMax=7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M/60","m60","LMG","recoil","recoilV","recoilV=0.7361877333333333","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M/60","m60","LMG","recoilVariationDeg","recoilVar","recoilVar=29.9","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M/60","m60","LMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=11","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M1014","m1014","Shotgun","recoil","recoilV","recoilV=2.407944289800912","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M1014","m1014","Shotgun","recoilVariationDeg","recoilVar","recoilVar=15","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M1014","m1014","Shotgun","effectiveAdsSpreadDeg","spreadMax","spreadMax=5","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M277","m277","Carbine","recoil","recoilV","recoilV=0.9542958007305558","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M277","m277","Carbine","recoilVariationDeg","recoilVar","recoilVar=34.4","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M277","m277","Carbine","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M39 EMR","m39emr","DMR","recoil","recoilV","recoilV=1.745759610105661","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M39 EMR","m39emr","DMR","recoilVariationDeg","recoilVar","recoilVar=8","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M39 EMR","m39emr","DMR","effectiveAdsSpreadDeg","spreadMax","spreadMax=9","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M417 A2","m417a2","Carbine","recoil","recoilV","recoilV=0.9354648009443473","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M417 A2","m417a2","Carbine","recoilVariationDeg","recoilVar","recoilVar=15.4","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M417 A2","m417a2","Carbine","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M433","m433","Assault Rifle","recoil","recoilV","recoilV=0.7933323350025011","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M433","m433","Assault Rifle","recoilVariationDeg","recoilVar","recoilVar=41.4","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M433","m433","Assault Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M4A1","m4a1","Carbine","recoil","recoilV","recoilV=0.8482748505471913","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M4A1","m4a1","Carbine","recoilVariationDeg","recoilVar","recoilVar=30.7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M4A1","m4a1","Carbine","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"M87A1","m87a1","Shotgun","recoil","recoilV","recoilV=3.6119164347013677","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
